"parent_name","parent_id","subba_name","subba_id","subba_alias"
"New York Independent System Operator","NYIS","Hudson Valley","ZONG","NYIS: (ZONG) Hudson Valley"
"PJM Interconnection, LLC","PJM","American Electric Power zone","AEP","PJM: (AEP) American Electric Power zone"
"PJM Interconnection, LLC","PJM","Metropolitan Edison zone","ME","PJM: (ME) Metropolitan Edison zone"
"Public Service Company of New Mexico","PNM","Kirtland Air Force Base","KAFB","PNM: (KAFB) Kirtland Air Force Base"
"Southwest Power Pool","SWPP","Kansas City Power & Light","KCPL","SWPP: (KCPL) Kansas City Power & Light"
"Southwest Power Pool","SWPP","Nebraska Public Power District","NPPD","SWPP: (NPPD) Nebraska Public Power District"
"Electric Reliability Council of Texas, Inc.","ERCO","North","NRTH","ERCO: (NRTH) North"
"New York Independent System Operator","NYIS","Dunwoodie","ZONI","NYIS: (ZONI) Dunwoodie"
"PJM Interconnection, LLC","PJM","Baltimore Gas & Electric zone","BC","PJM: (BC) Baltimore Gas & Electric zone"
"Southwest Power Pool","SWPP","Omaha Public Power District","OPPD","SWPP: (OPPD) Omaha Public Power District"
"Southwest Power Pool","SWPP","Southwestern Public Service Company","SPS","SWPP: (SPS) Southwestern Public Service Company"
"Electric Reliability Council of Texas, Inc.","ERCO","North Central","NCEN","ERCO: (NCEN) North Central"
"Electric Reliability Council of Texas, Inc.","ERCO","South Central","SCEN","ERCO: (SCEN) South Central"
"Midcontinent Independent System Operator, Inc.","MISO","Zones 2 and 7","27","MISO: (0027) Zones 2 and 7"
"Midcontinent Independent System Operator, Inc.","MISO","Zones 8, 9, and 10","8910","MISO: (8910) Zones 8, 9, and 10"
"PJM Interconnection, LLC","PJM","Duke Energy Ohio/Kentucky zone","DEOK","PJM: (DEOK) Duke Energy Ohio/Kentucky zone"
"PJM Interconnection, LLC","PJM","East Kentucky Power Cooperative zone","EKPC","PJM: (EKPC) East Kentucky Power Cooperative zone"
"PJM Interconnection, LLC","PJM","Jersey Central Power & Light zone","JC","PJM: (JC) Jersey Central Power & Light zone"
"Public Service Company of New Mexico","PNM","Navajo Tribal Utility Authority","NTUA","PNM: (NTUA) Navajo Tribal Utility Authority"
"Southwest Power Pool","SWPP","Kansas City Board of Public Utilities","KACY","SWPP: (KACY) Kansas City Board of Public Utilities"
"Southwest Power Pool","SWPP","Lincoln Electric System","LES","SWPP: (LES) Lincoln Electric System"
"Southwest Power Pool","SWPP","Western Area Power Upper Great Plains East","WAUE","SWPP: (WAUE) Western Area Power Upper Great Plains East"
"Electric Reliability Council of Texas, Inc.","ERCO","Coast","COAS","ERCO: (COAS) Coast"
"Electric Reliability Council of Texas, Inc.","ERCO","Far West","FWES","ERCO: (FWES) Far West"
"Electric Reliability Council of Texas, Inc.","ERCO","South","SOUT","ERCO: (SOUT) South"
"Midcontinent Independent System Operator, Inc.","MISO","Zone 1","1","MISO: (0001) Zone 1"
"New York Independent System Operator","NYIS","Genesee","ZONB","NYIS: (ZONB) Genesee"
"PJM Interconnection, LLC","PJM","Duquesne Lighting Company zone","DUQ","PJM: (DUQ) Duquesne Lighting Company zone"
"PJM Interconnection, LLC","PJM","Potomac Electric Power zone","PEP","PJM: (PEP) Potomac Electric Power zone"
"PJM Interconnection, LLC","PJM","Rockland Electric (East) zone","RECO","PJM: (RECO) Rockland Electric (East) zone"
"Public Service Company of New Mexico","PNM","Los Alamos County","LAC","PNM: (LAC) Los Alamos County"
"Southwest Power Pool","SWPP","Independence Power & Light","INDN","SWPP: (INDN) Independence Power & Light"
"Southwest Power Pool","SWPP","Westar Energy","WR","SWPP: (WR) Westar Energy"
"Electric Reliability Council of Texas, Inc.","ERCO","West","WEST","ERCO: (WEST) West"
"ISO New England","ISNE","New Hampshire","4002","ISNE: (4002) New Hampshire"
"ISO New England","ISNE","Connecticut","4004","ISNE: (4004) Connecticut"
